latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
48.28078,14.33641,301.76,1.1,1.04,2024-12-01,0151,A,44,6.1NRT,273.27,11.54,N
63.9,-22.34331,349.77,4.71,1.99,2024-12-01,0327,A,100,6.1NRT,274.81,639.25,N
63.89909,-22.34685,348,4.71,1.99,2024-12-01,0327,A,100,6.1NRT,274.52,602.13,N
63.90034,-22.24776,306.95,4.68,1.98,2024-12-01,0327,A,50,6.1NRT,267.42,120.8,N
63.91062,-22.34747,305.45,1,1,2024-12-01,0505,A,4,6.1NRT,271.28,10.68,N
63.90755,-22.32835,307.27,1,1,2024-12-01,0505,A,24,6.1NRT,265.33,11.29,N
63.90221,-22.35439,428.02,1,1,2024-12-01,0505,A,100,6.1NRT,297.32,470.58,N
63.89913,-22.33528,423.36,1,1,2024-12-01,0505,A,100,6.1NRT,307.28,427.34,N
63.89606,-22.31619,332.23,1,1,2024-12-01,0505,A,26,6.1NRT,276.68,31.92,N
63.89904,-22.33373,353.87,4.08,1.87,2024-12-01,0641,A,100,6.1NRT,270.11,0,N
63.89401,-22.34582,350.78,4.08,1.87,2024-12-01,0641,A,100,6.1NRT,270.32,0,N
36.75018,6.25043,302.21,1.09,1.04,2024-12-01,0926,T,42,6.1NRT,289.51,5.66,D
36.74867,6.2623,304.44,1.09,1.04,2024-12-01,0926,T,56,6.1NRT,288.68,7.08,D
35.80512,-0.24112,322.65,2.46,1.51,2024-12-01,0926,T,0,6.1NRT,288.45,74.42,D
52.15442,10.39795,301.71,1.13,1.06,2024-12-01,0921,T,49,6.1NRT,275.53,10.96,D
63.8991,-22.3912,350.43,3.11,1.67,2024-12-01,1057,T,100,6.1NRT,271.51,0,N
63.89816,-22.32626,365.24,3.09,1.67,2024-12-01,1057,T,100,6.1NRT,276.98,0,N
37.06736,34.9516,301.37,1.43,1.18,2024-12-01,1119,A,46,6.1NRT,289.29,7.77,D
63.89951,-22.3569,422.36,1.18,1.08,2024-12-01,1238,T,100,6.1NRT,297.5,531.56,D
63.89524,-22.33506,387.8,1.18,1.08,2024-12-01,1238,T,100,6.1NRT,286.39,240.18,D
39.82393,8.62491,302.13,1.54,1.22,2024-12-01,1259,A,51,6.1NRT,288.18,10.52,D
44.881,8.577,303.35,1.22,1.1,2024-12-01,1259,A,53,6.1NRT,281.96,10.92,D
52.15658,10.40818,304.09,1.01,1,2024-12-01,1301,A,58,6.1NRT,277.72,10.11,D
52.15458,10.39395,303.3,1.01,1,2024-12-01,1301,A,55,6.1NRT,278.3,9.58,D
63.88895,-22.36561,360.99,3.87,1.83,2024-12-01,1308,A,100,6.1NRT,275.91,0,D
63.88137,-22.3604,333.98,3.87,1.83,2024-12-01,1308,A,100,6.1NRT,272.9,0,D
63.89352,-22.38524,339.35,3.87,1.83,2024-12-01,1308,A,100,6.1NRT,266.67,0,D
35.80185,-0.23533,303.46,2.65,1.56,2024-12-01,1435,A,40,6.1NRT,289.89,14.52,D
63.89634,-22.34102,419.35,1,1,2024-12-01,1444,A,100,6.1NRT,302.69,390.95,D
63.89343,-22.36019,436.69,1,1,2024-12-01,1444,A,100,6.1NRT,310.62,555.33,D
63.90187,-22.36684,344.56,1,1,2024-12-01,1444,A,100,6.1NRT,284.18,53.47,D
35.79976,-0.25334,314.32,3.78,1.82,2024-12-01,2029,T,89,6.1NRT,284.79,106.37,N
52.15723,10.41155,302.98,1.25,1.11,2024-12-01,2031,T,52,6.1NRT,273.05,14.48,N
52.15545,10.39353,304.92,1.25,1.11,2024-12-01,2031,T,62,6.1NRT,273.86,15.97,N
63.90335,-22.32383,355.78,3.08,1.67,2024-12-01,2038,T,100,6.1NRT,272.89,0,N
