Species,Location_Latitude,Location_Longitude,Heart_Rate_BPM_Normal,Heart_Rate_BPM_Stress,Respiration_Rate_BPM_Normal,Respiration_Rate_BPM_Stress,Oxygen_Level_Percentage_Normal,Oxygen_Level_Percentage_Stress,Movement_Speed_kmh_Normal,Movement_Speed_kmh_Stress,Vocalization_Level_dB_Normal,Vocalization_Level_dB_Stress,Anomaly_Flag
Rabbit,45.10054,-113.43534,83,177,16,34,97.1,91.2,2.78,29.17,49.4,77.6,High Stress
Deer,34.00632,-91.68099,84,138,17,25,98.3,89.9,1.01,19.24,49.1,78.1,Normal
Deer,38.22382,-119.62695,66,132,12,39,98.8,87.6,3.2,13.92,41.9,63.4,Moderate Stress
Wolf,46.98284,-118.42088,97,170,18,34,96.1,91.2,1.69,19.05,36.9,67.2,Moderate Stress
Snake,45.89252,-90.11338,67,169,16,31,95.9,89.5,3.33,12.11,35.7,73.2,Normal
Raccoon,40.46494,-97.64049,99,143,14,27,97.5,87.3,0.95,22.62,48.7,73.6,Moderate Stress
Snake,34.12102,-104.64252,75,121,18,40,95.0,88.2,0.73,24.73,41.2,71.2,Normal
Raccoon,42.79994,-92.40009,99,166,19,30,96.9,87.1,2.9,27.62,40.3,61.7,High Stress
Wild Boar,47.01039,-99.81486,86,163,11,33,96.1,87.6,0.65,23.61,35.2,70.9,Moderate Stress
Rabbit,47.51694,-92.46004,57,129,12,35,99.0,85.9,2.35,15.52,38.1,77.2,High Stress
Raccoon,37.32639,-114.0633,76,179,17,29,95.8,91.5,2.37,26.08,43.0,67.4,Moderate Stress
Wild Boar,41.23793,-96.04021,79,173,20,36,98.9,90.7,3.61,12.49,48.4,65.4,High Stress
Wild Boar,38.82087,-92.00721,70,120,15,28,96.2,93.1,3.72,22.34,33.2,70.0,Moderate Stress
Wild Boar,43.6594,-90.14357,93,151,19,38,96.0,91.2,3.44,24.85,36.0,70.2,Moderate Stress
Rabbit,39.79974,-103.05863,62,128,19,39,95.0,88.0,2.83,23.68,49.8,69.3,Moderate Stress
Raccoon,46.48608,-113.09457,62,152,15,26,97.5,86.7,4.25,16.66,34.0,74.5,High Stress
Wild Boar,35.04006,-99.96213,70,160,11,28,96.0,85.1,3.6,26.42,46.7,72.1,Normal
Bird,47.82581,-99.52272,52,139,15,39,95.4,86.0,2.55,14.18,48.7,73.6,High Stress
Hedgehog,36.87274,-104.95631,93,161,14,33,96.4,91.3,4.18,13.76,35.8,79.0,High Stress
Bird,36.22406,-102.6016,78,125,13,27,97.2,87.8,2.89,15.21,48.3,62.5,Normal
Snake,39.43648,-105.85271,87,136,15,31,98.4,88.9,3.68,23.19,44.3,70.7,Moderate Stress
Fox,47.64598,-117.74575,69,135,18,25,95.2,93.9,3.38,13.0,42.0,62.1,High Stress
Snake,36.53629,-100.16275,74,122,10,27,97.1,92.2,4.04,22.26,41.3,68.3,Moderate Stress
Fox,46.78201,-111.82843,87,142,14,25,97.7,87.3,2.57,15.12,42.2,68.4,Normal
Wild Boar,47.43791,-108.76082,55,140,11,35,98.1,87.9,0.53,17.62,38.2,67.7,Normal
Raccoon,42.14525,-114.0961,51,163,20,37,96.2,87.7,1.06,20.29,34.3,63.3,Normal
Wild Boar,39.18228,-115.42933,59,139,20,28,98.9,86.9,1.08,15.94,48.5,66.6,High Stress
Bird,47.70787,-119.71471,95,122,11,28,98.6,90.2,4.6,17.2,49.9,72.0,High Stress
Squirrel,40.38417,-110.67158,55,129,20,35,97.5,91.3,1.39,27.23,36.1,61.1,High Stress
Hedgehog,47.18539,-101.43089,76,145,14,30,97.2,85.3,1.74,21.67,39.8,66.1,Normal
Wolf,46.24324,-107.84771,88,128,14,30,95.6,87.8,4.25,24.38,38.3,62.2,High Stress
Rabbit,35.56167,-110.34304,90,136,18,26,98.8,93.6,0.96,27.5,45.2,66.8,High Stress
Bird,43.6953,-95.60365,51,139,14,29,98.8,85.6,3.31,12.03,42.6,76.1,Moderate Stress
Wolf,35.10267,-93.53222,53,136,10,30,95.6,91.6,3.6,19.46,41.0,64.1,Moderate Stress
Rabbit,45.6151,-90.90602,70,136,19,33,97.7,93.3,2.37,26.66,46.7,73.2,Moderate Stress
Wolf,46.54948,-93.89546,76,145,12,29,96.7,85.7,0.66,18.47,38.7,70.8,High Stress
Squirrel,44.44518,-96.84977,71,161,16,31,96.7,90.2,2.65,12.83,33.2,65.8,High Stress
Wild Boar,39.48524,-111.67682,94,139,19,29,95.8,87.7,4.33,29.08,40.2,79.9,Moderate Stress
Snake,42.73432,-91.57809,58,153,16,27,96.9,85.8,4.78,10.33,31.6,78.0,Moderate Stress
Squirrel,45.23341,-112.02322,63,127,20,25,98.5,91.4,2.19,24.76,33.5,67.5,Moderate Stress
Bird,39.31888,-100.10565,88,158,16,25,98.4,86.4,3.94,12.56,45.9,79.6,Moderate Stress
Hedgehog,45.30774,-103.21261,52,131,20,36,95.3,90.8,0.68,10.16,33.1,76.4,Normal
